"Station_ID","YEARMODA","Year","Month","Day","Tmin","Tmean","Tmax","Rainfall"
"03490",19800101,1980,1,1,0,0.8,2.6,3.4
"03490",19800102,1980,1,2,0,1.4,1.8,2.4
"03490",19800103,1980,1,3,-1.5,-0.6,1.8,1.2
"03490",19800104,1980,1,4,-2.3,3.2,5,4.2
"03490",19800105,1980,1,5,0.3,3.2,6.4,0.4
"03490",19800106,1980,1,6,2.1,5.6,6.3,5.1
"03490",19800107,1980,1,7,2,3,6.4,8.6
"03490",19800108,1980,1,8,1.2,2.2,4,0.5
"03490",19800109,1980,1,9,-1.8,-0.2,2.2,0
"03490",19800110,1980,1,10,-3.4,-0.4,0.5,0
"03490",19800111,1980,1,11,-2,-1.8,-0.3,0
"03490",19800112,1980,1,12,-7.8,-5.7,-2,0
"03490",19800113,1980,1,13,-10.5,-7.2,-2,0
"03490",19800114,1980,1,14,-10,-7.1,-3.4,0
"03490",19800115,1980,1,15,-10.4,-7.4,-5.2,0
"03490",19800116,1980,1,16,-9.5,-4,0,0
"03490",19800117,1980,1,17,-7.8,-4.7,0.4,0
"03490",19800118,1980,1,18,-10.9,-6,-0.8,0
"03490",19800119,1980,1,19,-9.4,-5.2,1.8,0
"03490",19800120,1980,1,20,-8.8,-2.8,0.3,0
"03490",19800121,1980,1,21,-6.6,1.8,4.6,5.8
"03490",19800122,1980,1,22,1.5,4.8,6.7,0.6
"03490",19800123,1980,1,23,1.5,3.8,6.5,0.5
"03490",19800124,1980,1,24,-0.4,2.9,6,0
"03490",19800125,1980,1,25,1.2,4,7.8,0
"03490",19800126,1980,1,26,0.3,1.4,3.8,3
"03490",19800127,1980,1,27,-1.6,0.5,3,0
"03490",19800128,1980,1,28,-4.1,-0.8,1,0
"03490",19800129,1980,1,29,-0.2,3.5,4.8,0
"03490",19800130,1980,1,30,4.2,7.9,9.3,5.6
"03490",19800131,1980,1,31,6.2,9.4,10.7,1.8
"03490",19800201,1980,2,1,1.2,1.6,8.8,0.3
"03490",19800202,1980,2,2,0.1,6.8,7.8,6
"03490",19800203,1980,2,3,3.5,7,8.5,6.2
"03490",19800204,1980,2,4,4,4.5,10.7,4.1
"03490",19800205,1980,2,5,4,8.6,11,0.5
